sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1977098,28,2,0,0,0,0,4,8,13,13,0,0,0,0.78,0.74,0,1,0,0,1,0,No
1977099,20,4,0,0,0,0,0,1,1,3,0,0,0,0.85,0.78,0,1,0,0,1,0,No
1977100,96,12,0,276,499,625,0,0,0,0,49,0,0,0.69,0.69,0,0,0,1,1,0,No
1977101,14,2,0,8,8,8,0,1,1,1,0,0,0,0.78,0.74,0,1,0,1,1,0,No
1058368,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1977122,1,2,6,0,0,0,1,2,4,4,0,0,0,1,0.99,0,0,0,1,1,0,No
1977123,3,12,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0,0,0,0,1,0,No
1977124,3,8,0,0,0,0,0,0,1,1,1,0,0,0.96,0.97,0,1,0,1,1,0,No
1977125,34,12,0,0,0,0,0,1,1,2,0,0,0,0.78,0.78,0,0,0,0,1,0,No
1977126,32,8,0,0,0,0,0,1,2,5,1,0,0,0.99,0.99,0,1,0,0,1,0,No
1977127,4,8,0,24,42,54,3,9,25,39,1,0,0,0.97,0.84,0,0,0,0,1,0,No
1977129,23,9,0,0,0,20,2,8,27,45,1,0,0,0.99,0.99,0,0,0,0,1,0,No
1977130,2,9,0,0,0,0,0,0,0,0,0,0,0,0.87,0.72,0,1,0,0,1,0,No
1977131,2,9,0,0,0,0,0,0,0,0,0,0,0,0.87,0.72,0,0,0,0,1,0,No
1977132,11,8,0,0,0,0,0,0,0,0,0,0,0,1,0.99,0,0,0,0,1,0,No
1977133,2,12,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,0,1,0,No
1113122,0,10,2,0,0,1,0,0,2,2,0,0,0,0.89,0.9,0,0,0,0,1,0,Yes
1113199,0,12,1,4,7,10,1,3,5,8,0,0,0,0.82,0.79,0,0,0,0,1,0,Yes
1113222,57,8,0,576,768,960,61,184,519,589,101,0,0,0,0,3,0,0,0,1,0,Yes
1113268,0,8,0,2,3,4,1,2,3,3,0,0,0,0.96,0.97,0,0,0,0,1,0,Yes
1113366,2,8,0,38,55,89,12,41,75,98,1,0,0,0.99,0.99,0,0,0,1,1,0,Yes
1113480,5,8,0,15,30,44,6,15,47,61,4,0,0,0.5,0.63,0,1,0,0,1,0,Yes
1113651,0,8,0,3,4,6,2,3,4,5,0,0,0,0.77,0.78,0,0,0,0,1,0,Yes
1113874,20,2,0,45,99,153,16,42,80,111,10,0,0,0.81,0.88,0,0,0,0,1,0,Yes
1113900,0,12,0,3,4,5,1,3,5,5,0,0,0,0.82,0.79,0,1,0,0,1,0,Yes
1113996,0,9,0,22,42,62,6,18,28,38,4,0,0,0.69,0.68,0,0,0,0,1,0,Yes
1114031,1,2,0,10,10,10,1,1,1,1,0,0,0,1,0.99,0,0,0,0,1,0,Yes
1114043,3,2,0,10,16,26,5,8,21,33,1,0,0,0.99,0.99,0,0,0,0,1,0,Yes
1114109,0,8,0,49,49,49,0,0,0,0,0,0,0,0.77,0.78,0,1,0,0,1,0,Yes
1114110,45,8,183,474,822,1104,305,539,884,1182,227,0,0,0.93,0.67,3,0,0,0,1,0,Yes
1114197,0,2,0,16,40,40,0,1,1,1,0,0,16,0.85,0.88,0,1,0,1,1,0,Yes
1114222,0,8,0,9,14,21,5,17,36,43,0,0,0,0.96,0.98,0,0,0,0,1,0,Yes
1114823,0,12,0,31,31,31,7,15,33,47,2,0,3,0.98,0.98,0,0,0,0,1,0,Yes
1114946,1,9,0,2,2,2,0,6,6,6,0,0,0,0.85,0.83,0,0,0,0,1,0,Yes
1115060,0,2,0,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Yes
1115135,7,2,0,0,0,10,1,2,6,11,0,0,0,0.99,0.98,0,0,0,0,1,0,Yes
1115453,55,8,0,216,360,492,30,108,275,340,51,0,0,0,0,0,0,0,1,1,0,Yes
1115564,3,14,0,6,18,24,3,9,12,18,1,0,0,0.99,0.82,0,0,0,0,1,0,Yes
1115620,-34,8,0,120,240,240,83,122,144,165,33,0,0,1,0.97,34,0,0,0,1,0,Yes
1115711,5,4,0,0,15,15,3,5,8,12,0,0,0,0.95,0.94,0,0,0,0,1,0,Yes
1115719,3,2,0,0,6,12,2,8,14,19,0,0,0,0.95,0.97,0,0,0,0,1,0,Yes
1115930,3,8,0,36,64,100,13,34,65,91,0,0,0,0.96,0.94,0,0,0,0,1,0,Yes
1115941,3,0,0,12,26,38,5,16,29,42,1,0,0,0,0,0,0,0,1,0,0,Yes
1116446,4,9,0,43,67,115,5,22,40,58,4,0,0,0.69,0.68,0,0,0,0,1,0,Yes
1116534,0,8,0,6,10,14,0,0,0,0,0,0,0,0.96,0.94,0,0,0,0,1,0,Yes
1116572,33,8,24,37,51,86,18,40,94,132,27,0,0,0.79,0.66,0,0,0,0,1,0,Yes
1116611,4,8,0,0,0,0,0,0,0,0,0,0,0,0.89,0.88,0,1,0,0,1,0,No
1116671,0,10,0,1,2,2,2,2,3,3,0,0,0,0.89,0.9,0,0,0,0,1,0,Yes
1116703,0,2,0,0,0,0,0,0,0,0,0,0,0,0.96,0.94,0,0,0,0,1,0,Yes
1116734,3,3,0,167,257,347,32,97,176,181,40,0,0,0.42,0.46,0,0,0,0,1,0,Yes
1116757,5,8,0,50,50,100,5,30,44,62,0,0,0,0.96,0.93,0,0,0,0,1,0,Yes
1116834,2,8,0,4,6,9,1,5,6,9,2,0,0,1,0.95,0,0,0,0,1,0,Yes
1116860,6,2,0,28,52,76,7,12,14,14,5,0,0,0.99,0.98,0,0,0,0,1,0,Yes
1116868,-7,8,0,56,96,112,13,30,56,76,0,0,0,0.97,0.92,7,0,0,0,1,0,Yes
1116970,1,2,0,3,5,7,1,2,7,8,0,0,0,0.77,0.82,0,0,0,0,1,0,Yes
1117011,1,8,0,2,4,6,0,2,3,4,0,0,0,0.79,0.66,0,0,0,0,1,0,Yes
1117278,4,2,0,0,0,0,2,5,5,5,1,0,0,0.69,0.68,0,0,0,0,1,0,Yes
1407678,0,2,0,0,0,0,0,0,0,0,0,0,0,0.73,0.78,0,0,0,0,1,0,Yes
1407634,2,8,0,4,7,11,0,2,7,13,0,0,0,0,0,0,0,0,0,1,0,Yes
1407611,1,9,0,1,3,4,0,1,2,3,0,0,0,0.99,0.98,0,0,0,0,1,0,Yes
1407548,1,9,0,1,2,3,0,1,1,2,0,0,0,0.99,0.98,0,0,0,0,1,0,Yes
1407452,2669,2,707,3830,8676,13116,1261,4079,8527,13259,1279,0,0,0.99,0.99,0,0,0,0,1,0,Yes
1407379,24,12,20,60,116,164,30,102,132,194,0,0,0,0.63,0.72,0,0,0,0,1,0,Yes
1407350,5,2,0,8,15,21,4,13,26,27,1,0,0,0.22,0.34,0,1,0,0,1,0,Yes
1407264,7,2,0,45,45,45,1,5,7,8,1,0,0,0.92,0.96,0,1,0,0,1,0,Yes
1406796,4,12,4,44,76,104,16,38,80,129,15,0,0,0.89,0.78,0,0,0,0,1,0,Yes
