Quarter,department,day,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1,2,7,1,0.8,3.94,960,0,0,0,0,8,0.915229167
1,2,7,4,0.8,3.94,6600,0,0,0,0,20,0.861679012
1,2,7,2,0.8,3.94,960,0,0,0,0,8,0.792104167
1,2,7,10,0.7,3.94,4320,0,0,0,0,18,0.759228395
1,2,1,1,0.8,3.94,1920,0,0,0,0,8,0.961059028
1,2,1,11,0.8,3.94,2400,0,0,0,0,10,0.939513889
1,2,1,4,0.8,3.94,3840,0,0,0,0,16,0.893663194
1,2,1,2,0.8,3.94,960,0,0,0,0,8,0.804416667
1,2,1,7,0.8,3.94,960,0,0,0,0,8,0.676666667
1,2,2,4,0.8,3.94,4440,0,0,0,0,18,0.966781346
1,2,2,1,0.8,3.94,1440,0,0,0,0,8,0.936496212
1,2,2,9,0.8,3.94,1440,0,0,0,0,8,0.858143939
1,2,2,10,0.75,3.94,1440,0,0,0,0,8,0.809640152
1,2,2,2,0.8,3.94,1440,0,0,0,0,8,0.805909091
1,2,3,1,0.8,3.94,1440,0,0,0,0,8,0.951420455
1,2,3,9,0.8,3.94,1440,0,0,0,0,8,0.880530303
1,2,3,4,0.8,3.94,4440,0,0,0,0,18,0.827186544
1,2,3,2,0.8,3.94,1440,0,0,0,0,8,0.813371212
1,2,3,10,0.75,3.94,1440,0,0,0,0,8,0.805909091
2,2,4,1,0.8,3.94,1440,0,0,0,0,8,0.947689394
2,2,4,4,0.8,3.94,12600,0,0,0,0,20,0.919905405
2,2,4,9,0.8,3.94,1440,0,0,0,0,8,0.891723485
2,2,4,2,0.8,3.94,1440,0,0,0,0,8,0.835757576
2,2,4,10,0.75,3.94,1440,0,0,0,0,8,0.779791667
2,2,6,1,0.8,3.94,2160,0,0,0,0,8,0.985
2,2,6,4,0.8,3.94,6000,0,0,0,0,20,0.911589744
2,2,6,9,0.8,3.94,1440,0,0,0,0,8,0.858143939
2,2,6,10,0.8,3.94,1440,0,0,0,0,8,0.846950758
2,2,6,2,0.8,3.94,1440,0,0,0,0,8,0.817102273
2,2,7,4,0.8,3.94,3600,0,0,0,0,20,0.925643939
2,2,7,1,0.8,3.94,1440,0,0,0,0,8,0.873068182
2,2,7,9,0.8,3.94,1440,0,0,0,0,8,0.858143939
2,2,7,10,0.8,3.94,1440,0,0,0,0,8,0.828295455
2,2,7,2,0.8,3.94,1440,0,0,0,0,8,0.820833333
2,2,1,1,0.8,3.94,1440,0,0,0,0,8,0.955151515
2,2,1,2,0.8,3.94,1440,0,0,0,0,8,0.880530303
2,2,1,9,0.8,3.94,1440,0,0,0,0,8,0.858143939
2,2,1,10,0.8,3.94,1440,0,0,0,0,8,0.24625
2,2,2,1,0.8,3.94,1440,0,0,0,0,2,0.951420455
2,2,2,10,0.8,3.94,5400,0,0,0,0,20,0.912766667
2,2,2,9,0.8,3.94,1440,0,0,0,0,8,0.858143939
2,2,2,2,0.8,3.94,1440,0,0,0,0,8,0.805909091
2,2,3,1,0.8,3.94,1440,0,0,0,0,8,0.891723485
2,2,3,9,0.8,3.94,1440,0,0,0,0,8,0.858143939
2,2,3,10,0.8,3.94,1260,0,0,0,0,8,0.332359307
2,2,3,2,0.8,3.94,1260,0,0,0,0,8,0.247316017
3,2,4,10,0.8,3.94,3420,0,0,0,0,19,0.953110048
3,2,4,1,0.8,3.94,1440,0,0,0,0,8,0.884261364
3,2,4,9,0.8,3.94,1440,0,0,0,0,8,0.858143939
3,2,6,2,0.8,3.94,1800,0,0,0,0,10,0.980909091
3,2,6,10,0.8,3.94,1440,0,0,0,0,8,0.974621212
3,2,6,1,0.8,3.94,1440,0,0,0,0,8,0.884261364
3,2,6,9,0.8,3.94,1800,0,0,0,0,10,0.82680303
3,2,7,9,0.8,3.94,1800,0,0,0,0,10,0.582045455
3,2,7,10,0.7,3.94,1440,0,0,0,0,8,0.235795455
3,2,1,9,0.8,3.94,1800,0,0,0,0,10,0.964106061
3,2,1,10,0.7,3.94,1440,0,0,0,0,8,0.538399621
3,2,2,9,0.8,3.94,1800,0,0,0,0,10,0.72830303
3,2,3,2,0.7,3.94,5100,0,0,0,0,17,0.912202112
3,2,3,9,0.8,3.94,2400,0,0,0,0,8,0.827147436
3,2,3,1,0.65,3.94,2400,0,0,0,0,8,0.505128205
4,2,4,7,0.6,3.94,6000,0,0,0,0,10,0.957638889
4,2,4,10,0.75,3.94,8400,0,0,0,0,14,0.940701058
4,2,4,1,0.7,3.94,15000,0,0,0,0,25,0.649662222
4,2,4,2,0.7,3.94,15000,0,0,0,0,25,0.649662222
4,2,4,3,0.7,3.94,12000,0,0,0,0,20,0.460578704
4,2,6,10,0.75,3.94,1800,0,0,0,0,10,0.937242424
4,2,6,3,0.75,3.94,1440,0,0,0,0,8,0.895454545
4,2,6,7,0.65,3.94,2160,0,0,0,0,12,0.870580808
4,2,6,2,0.75,3.94,1440,0,0,0,0,8,0.578314394
4,2,6,1,0.7,3.94,1440,0,0,0,0,8,0.578314394
4,2,6,9,0.6,3.94,1440,0,0,0,0,8,0.261174242
4,2,7,2,0.75,3.94,1440,0,0,0,0,8,0.970075758
4,2,7,1,0.7,3.94,1440,0,0,0,0,8,0.970075758
4,2,7,3,0.75,3.94,1620,0,0,0,0,9,0.961784512
4,2,7,10,0.75,3.94,3420,0,0,0,0,19,0.955151515
4,2,7,7,0.65,3.94,2520,0,0,0,0,14,0.749188312
4,2,1,3,0.75,3.94,1800,0,0,0,0,10,1.059621212
4,2,1,10,0.75,3.94,3780,0,0,0,0,21,0.997792208
4,2,1,2,0.75,3.94,1800,0,0,0,0,10,0.910378788
4,2,1,1,0.7,3.94,1800,0,0,0,0,10,0.910378788
4,2,1,7,0.65,3.94,1440,0,0,0,0,8,0.646306818
4,2,2,10,0.8,3.94,1440,0,0,0,0,12,0.979527778
4,2,2,3,0.75,3.94,1440,0,0,0,0,12,0.861875
4,2,2,8,0.65,3.94,960,0,0,0,0,8,0.845458333
4,2,2,2,0.75,3.94,1200,0,0,0,0,10,0.788
4,2,2,1,0.75,3.94,1200,0,0,0,0,10,0.77815
4,2,3,1,0.75,3.94,1200,0,0,0,0,10,0.9456
4,2,3,2,0.8,3.94,1800,0,0,0,0,15,0.902222222
4,2,3,10,0.8,3.94,1200,0,0,0,0,10,0.840533333
4,2,3,7,0.6,3.94,960,0,0,0,0,8,0.406354167
5,2,4,10,0.8,3.94,1200,0,0,0,0,10,0.85695
5,2,4,1,0.75,3.94,1200,0,0,0,0,10,0.853666667
5,2,4,2,0.8,3.94,1200,0,0,0,0,10,0.773333333
5,2,4,3,0.8,3.94,960,0,0,0,0,8,0.4925
5,2,6,2,0.8,3.94,1200,0,0,0,0,10,0.971866667
5,2,6,3,0.8,3.94,960,0,0,0,0,8,0.971866667
5,2,6,4,0.8,3.94,1200,0,0,0,0,10,0.971866667
5,2,6,10,0.8,3.94,1200,0,0,0,0,10,0.971866667
5,2,6,1,0.75,3.94,1800,0,0,0,0,15,0.971866667
5,2,6,9,0.75,3.94,240,0,0,0,0,2,0.971866667
5,2,6,5,0.7,3.94,240,0,0,0,0,2,0.971866667
5,2,6,7,0.7,3.94,1200,0,0,0,0,10,0.971866667
5,2,6,8,0.65,3.94,960,0,0,0,0,8,0.971866667
5,2,6,11,0.65,3.94,600,0,0,0,0,5,0.971866667
5,2,6,6,0.6,3.94,1200,0,0,0,0,10,0.971866667
1,2,7,1,0.75,3.94,2280,0,0,0,0,19,0.950438596
1,2,7,2,0.8,3.94,1200,0,0,0,0,10,0.912766667
1,2,7,7,0.7,3.94,2160,0,0,0,0,18,0.892194444
1,2,7,10,0.8,3.94,1200,0,0,0,0,10,0.8865
1,2,1,9,0.75,3.94,960,0,0,0,0,8,0.994270833
1,2,1,10,0.8,3.94,1200,0,0,0,0,10,0.85695
1,2,1,1,0.75,3.94,2280,0,0,0,0,19,0.504596491
1,2,2,2,0.8,3.94,2400,0,0,0,0,20,1.001416667
1,2,2,1,0.8,3.94,1200,0,0,0,0,10,0.99485
1,2,2,9,0.75,3.94,1320,0,0,0,0,11,0.919954545
1,2,3,2,0.8,3.94,2160,0,0,0,0,18,0.966759259
1,2,3,1,0.8,3.94,1200,0,0,0,0,10,0.929183333
1,2,3,7,0.7,3.94,960,0,0,0,0,8,0.779791667
1,2,3,9,0.75,3.94,960,0,0,0,0,8,0.755166667
1,2,4,2,0.8,3.94,2640,0,0,0,0,22,0.999924242
1,2,4,7,0.7,3.94,1200,0,0,0,0,10,0.8471
1,2,4,1,0.8,3.94,1440,0,0,0,0,12,0.845458333
1,2,4,10,0.8,3.94,960,0,0,0,0,8,0.771583333
1,2,6,2,0.8,3.94,3000,0,0,0,0,25,1.050666667
1,2,6,1,0.8,3.94,1200,0,0,0,0,10,0.870083333
1,2,6,9,0.8,3.94,960,0,0,0,0,8,0.771583333
1,2,6,7,0.7,3.94,1200,0,0,0,0,10,0.715766667
2,2,7,1,0.8,3.94,1200,0,0,0,0,10,0.893066667
2,2,7,2,0.8,3.94,2160,0,0,0,0,18,0.875555556
2,2,7,9,0.8,3.94,960,0,0,0,0,8,0.607416667
2,2,1,2,0.8,3.94,2160,0,0,0,0,18,1.057962963
2,2,1,1,0.8,3.94,1200,0,0,0,0,10,0.962016667
2,2,1,9,0.8,3.94,960,0,0,0,0,8,0.697708333
2,2,2,2,0.8,3.94,2160,0,0,0,0,18,0.966759259
2,2,2,1,0.8,3.94,1440,0,0,0,0,12,0.853666667
2,2,2,9,0.8,3.94,960,0,0,0,0,8,0.6895
2,2,3,2,0.8,3.94,2160,0,0,0,0,18,0.912037037
2,2,3,1,0.8,3.94,1440,0,0,0,0,12,0.618361111
2,2,3,9,0.8,3.94,960,0,0,0,0,8,0.54175
2,2,4,1,0.8,3.94,1440,0,0,0,0,12,0.664875
2,2,4,9,0.8,3.94,960,0,0,0,0,8,0.656666667
2,2,4,2,0.8,3.94,2160,0,0,0,0,18,0.601944444
2,2,6,1,0.8,3.94,1440,0,0,0,0,12,0.796208333
2,2,6,9,0.8,3.94,960,0,0,0,0,8,0.238041667
3,2,7,1,0.8,3.94,960,0,0,0,0,8,1.1204375
3,2,7,2,0.8,3.94,960,0,0,0,0,8,1.108125
3,2,1,9,0.8,3.94,1200,0,0,0,0,10,0.960433333
3,2,2,10,0.8,3.94,960,0,0,0,0,8,0.927541667
3,2,2,9,0.8,3.94,960,0,0,0,0,8,0.586041667
3,2,3,10,0.8,3.94,960,0,0,0,0,8,0.64025
3,2,3,9,0.8,3.94,960,0,0,0,0,8,0.549791667
3,2,4,10,0.8,3.94,2400,0,0,0,0,10,0.733277778
4,2,7,9,0.8,3.94,2400,0,0,0,0,10,0.753525
4,2,7,1,0.8,3.94,2880,0,0,0,0,12,0.727349537
4,2,7,10,0.8,3.94,960,0,0,0,0,8,0.385791667
4,2,1,10,0.8,3.94,2400,0,0,0,0,20,0.955791667
4,2,4,1,0.5,3.94,3360,0,0,0,0,8,0.768847222
4,2,6,1,0.5,3.94,3360,0,0,0,0,8,0.768847222
1,2,7,4,0.6,3.94,960,0,0,0,0,8,0.673083333
1,2,7,1,0.6,3.94,3360,0,0,0,0,8,0.448722222
1,2,1,4,0.65,3.94,960,0,0,0,0,8,0.806879167
1,2,1,1,0.65,3.94,3360,0,0,0,0,8,0.537919444
1,2,2,1,0.7,3.94,3360,0,0,0,0,8,0.555430556
1,2,2,4,0.7,3.94,3360,0,0,0,0,8,0.555430556
1,2,3,1,0.7,3.94,960,0,0,0,0,8,0.806879167
1,2,3,4,0.7,3.94,960,0,0,0,0,8,0.806058333
1,2,4,1,0.7,3.94,960,0,0,0,0,8,0.812625
1,2,4,4,0.7,3.94,960,0,0,0,0,8,0.812625
1,2,6,5,0.35,3.94,2400,0,0,0,0,10,0.80575
1,2,6,1,0.7,3.94,960,0,0,0,0,8,0.664875
1,2,6,4,0.7,3.94,960,0,0,0,0,8,0.664875
2,2,7,1,0.75,3.94,960,0,0,0,0,8,0.890604167
2,2,7,4,0.75,3.94,960,0,0,0,0,8,0.890604167
2,2,7,5,0.5,3.94,960,0,0,0,0,8,0.857916667
2,2,1,5,0.6,3.94,0,2880,0,0,0,12,0.864342593
2,2,1,4,0.75,3.94,0,960,0,0,0,8,0.7953875
2,2,1,1,0.75,3.94,0,960,0,0,0,8,0.794566667
2,2,2,5,0.6,3.94,1440,0,0,0,0,12,0.909391667
2,2,2,4,0.75,3.94,960,0,0,0,0,8,0.881575
2,2,2,1,0.75,3.94,960,0,0,0,0,8,0.880754167
2,2,3,4,0.75,3.94,1920,0,0,0,0,8,0.813309028
2,2,3,1,0.75,3.94,1920,0,0,0,0,8,0.812625
2,2,3,5,0.7,3.94,1440,0,0,0,0,12,0.75885
4,2,4,12,0.6,4.08,5400,0,0,0,0,9,0.327407407
4,2,6,12,0.7,4.08,1620,0,0,0,0,9,0.858585859
4,2,7,12,0.7,4.08,1620,0,0,0,0,9,0.618181818
4,2,1,12,0.7,4.08,1620,0,0,0,0,9,0.769292929
4,2,3,12,0.75,4.08,1080,0,0,0,0,9,0.755555556
5,2,4,12,0.75,4.08,1080,0,0,0,0,9,0.634666667
5,2,6,12,0.75,4.08,1080,0,0,0,0,9,0.971866667
1,2,7,12,0.75,4.08,1080,0,0,0,0,9,0.702666667
1,2,1,12,0.75,4.08,1080,0,0,0,0,9,0.740444444
1,2,2,12,0.8,4.08,1080,0,0,0,0,9,0.778222222
1,2,3,12,0.8,4.08,1080,0,0,0,0,9,0.687555556
1,2,4,12,0.8,4.08,1080,0,0,0,0,9,0.906666667
1,2,6,12,0.8,4.08,1080,0,0,0,0,9,0.899111111
2,2,7,12,0.8,4.08,1080,0,0,0,0,9,0.891555556
2,2,1,12,0.8,4.08,1080,0,0,0,0,9,0.272
2,2,2,12,0.8,4.08,1080,0,0,0,0,9,1.004888889
2,2,3,12,0.8,4.08,1080,0,0,0,0,9,1.02
2,2,4,12,0.8,4.08,1080,0,0,0,0,9,0.838666667
2,2,6,12,0.8,4.08,1080,0,0,0,0,9,0.800888889
3,2,7,12,0.8,4.08,1080,0,0,0,0,9,0.876444444
3,2,1,12,0.8,4.08,1080,0,0,0,0,9,0.891555556
1,2,4,11,0.7,4.15,1440,0,0,0,0,12,0.436326389
1,2,6,4,0.8,4.15,6600,0,0,0,0,20,0.988024691
1,2,6,9,0.8,4.15,960,0,0,0,0,8,0.956270833
1,2,6,2,0.8,4.15,960,0,0,0,0,8,0.782447917
1,2,6,10,0.7,4.15,960,0,0,0,0,8,0.7018125
1,2,7,3,0.75,4.15,1560,0,0,0,0,8,0.991388889
1,2,7,11,0.75,4.15,960,0,0,0,0,8,0.345833333
1,2,1,3,0.75,4.15,1920,0,0,0,0,8,0.875390625
1,2,2,3,0.75,4.15,1800,0,0,0,0,10,0.899166667
1,2,2,11,0.8,4.15,2700,0,0,0,0,15,0.888686869
1,2,3,3,0.75,4.15,2700,0,0,0,0,15,0.83
1,2,3,5,0.7,4.15,1440,0,0,0,0,8,0.330113636
2,2,4,5,0.7,4.15,3840,0,0,0,0,8,0.821354167
2,2,4,3,0.75,4.15,2160,0,0,0,0,12,0.712626263
2,2,4,11,0.8,4.15,900,0,0,0,0,5,0.515606061
2,2,6,3,0.75,4.15,2760,0,0,0,0,12,0.930340376
2,2,6,11,0.8,4.15,1440,0,0,0,0,8,0.817424242
2,2,6,5,0.5,4.15,1440,0,0,0,0,8,0.337973485
2,2,7,3,0.75,4.15,1440,0,0,0,0,8,0.93532197
2,2,7,11,0.8,4.15,1440,0,0,0,0,8,0.668087121
2,2,7,5,0.5,4.15,1440,0,0,0,0,8,0.609138258
2,2,1,3,0.8,4.15,1800,0,0,0,0,10,0.905454545
2,2,1,5,0.65,4.15,1440,0,0,0,0,8,0.809564394
2,2,1,11,0.8,4.15,1440,0,0,0,0,8,0.640577652
2,2,2,3,0.8,4.15,1620,0,0,0,0,9,0.901262626
2,2,2,5,0.65,4.15,1440,0,0,0,0,8,0.821354167
2,2,2,11,0.8,4.15,1440,0,0,0,0,8,0.601278409
2,2,3,11,0.8,4.15,1980,0,0,0,0,7,0.934607438
2,2,3,5,0.65,4.15,1440,0,0,0,0,15,0.864583333
2,2,3,3,0.8,4.15,1440,0,0,0,0,7,0.820833333
3,2,4,5,0.65,4.15,1440,0,0,0,0,8,0.860653409
3,2,6,5,0.65,4.15,2700,0,0,0,0,15,0.98719697
3,2,6,11,0.8,4.15,1260,0,0,0,0,7,0.313852814
3,2,7,5,0.6,4.15,1440,0,0,0,0,8,0.852793561
3,2,7,11,0.65,4.15,2160,0,0,0,0,12,0.838383838
3,2,1,5,0.65,4.15,1440,0,0,0,0,8,0.958901515
3,2,1,11,0.7,4.15,1440,0,0,0,0,8,0.409545455
3,2,2,5,0.7,4.15,1440,0,0,0,0,8,1.033570076
3,2,2,11,0.7,4.15,2700,0,0,0,0,15,0.362666667
3,2,3,5,0.7,4.15,2400,0,0,0,0,8,0.758173077
3,2,3,11,0.7,4.15,2700,0,0,0,0,9,0.470769231
4,2,4,5,0.7,4.15,9000,0,0,0,0,15,0.742901235
4,2,6,5,0.7,4.15,2700,0,0,0,0,15,0.966666667
4,2,6,11,0.75,4.15,1800,0,0,0,0,10,0.896022727
4,2,7,5,0.7,4.15,3060,0,0,0,0,17,0.973796791
4,2,1,5,0.7,4.15,2700,0,0,0,0,15,0.959191919
4,2,2,5,0.5,4.15,1440,0,0,0,0,12,0.926388889
4,2,2,12,0.7,4.15,1080,0,0,0,0,9,0.823555556
4,2,2,7,0.5,4.15,960,0,0,0,0,8,0.803541667
4,2,3,8,0.65,4.15,960,0,0,0,0,8,0.553333333
5,2,4,8,0.65,4.15,960,0,0,0,0,8,0.877552083
1,2,7,8,0.65,4.15,960,0,0,0,0,8,1.0115625
1,2,1,8,0.65,4.15,960,0,0,0,0,8,0.561979167
1,2,2,8,0.7,4.15,960,0,0,0,0,8,0.976979167
1,2,3,8,0.7,4.15,3000,0,0,0,0,25,0.915766667
2,2,7,7,0.7,4.15,1440,0,0,0,0,12,0.928680556
2,2,7,8,0.7,4.15,1800,0,0,0,0,15,0.840888889
2,2,1,8,0.35,4.15,1800,0,0,0,0,15,0.707111111
2,2,2,4,0.7,4.15,1800,0,0,0,0,15,0.796755556
2,2,2,8,0.35,4.15,960,0,0,0,0,8,0.703770833
2,2,3,4,0.7,4.15,1800,0,0,0,0,15,1.033155556
2,2,3,8,0.35,4.15,1440,0,0,0,0,12,0.994375
2,2,3,5,0.7,4.15,240,0,0,0,0,2,0.87
2,2,4,4,0.7,4.15,1800,0,0,0,0,15,1.096633333
2,2,4,8,0.35,4.15,1440,0,0,0,0,12,0.755486111
2,2,4,5,0.7,4.15,240,0,0,0,0,2,0.58
2,2,6,7,0.7,4.15,1800,0,0,0,0,15,0.929277778
2,2,6,4,0.75,4.15,2400,0,0,0,0,20,0.902916667
2,2,6,8,0.7,4.15,960,0,0,0,0,8,0.725625
3,2,7,5,0.75,4.15,240,0,0,0,0,2,0.760833333
3,2,7,8,0.7,4.15,960,0,0,0,0,8,0.605208333
3,2,7,4,0.75,4.15,2400,0,0,0,0,20,0.287041667
3,2,1,3,0.5,4.15,960,0,0,0,0,8,0.864583333
3,2,1,4,0.75,4.15,1800,0,0,0,0,15,0.722333333
3,2,1,5,0.75,4.15,1200,0,0,0,0,10,0.629416667
3,2,1,7,0.7,4.15,1800,0,0,0,0,15,0.258
2,2,1,4,0.35,4.3,3240,0,0,0,0,18,0.942213805
2,2,2,4,0.35,4.3,2160,0,0,0,0,12,0.952020202
2,2,3,4,0.35,4.3,2700,0,0,0,0,8,0.908080808
3,2,4,4,0.35,4.3,3600,0,0,0,0,20,0.988636364
3,2,1,4,0.7,4.3,5040,0,0,0,0,28,0.977272727
3,2,3,4,0.75,4.3,6000,0,0,0,0,20,0.978525641
4,2,4,4,0.75,4.3,9000,0,0,0,0,15,0.670216049
4,2,6,4,0.75,4.3,2160,0,0,0,0,12,0.651515152
4,2,7,4,0.75,4.3,2160,0,0,0,0,12,0.952020202
4,2,1,4,0.75,4.3,2160,0,0,0,0,12,0.963699495
4,2,2,4,0.8,4.3,1440,0,0,0,0,12,0.940625
4,2,3,4,0.8,4.3,1440,0,0,0,0,12,0.722638889
5,2,4,4,0.8,4.3,1200,0,0,0,0,10,0.989
1,2,7,4,0.8,4.3,1440,0,0,0,0,12,0.845069444
1,2,1,4,0.8,4.3,1440,0,0,0,0,12,0.809236111
1,2,2,4,0.8,4.3,1440,0,0,0,0,12,0.5375
1,2,6,4,0.8,4.3,960,0,0,0,0,8,0.447916667
4,2,2,3,0.8,4.6,1440,0,0,0,0,12,0.811388889
4,2,2,8,0.7,4.6,960,0,0,0,0,8,0.791458333
4,2,3,5,0.8,4.6,1080,0,0,0,0,9,0.902962963
4,2,3,3,0.8,4.6,2400,0,0,0,0,20,0.900833333
4,2,3,12,0.8,4.6,1800,0,0,0,0,15,0.899555556
4,2,3,7,0.75,4.6,960,0,0,0,0,8,0.676666667
4,2,3,8,0.7,4.6,960,0,0,0,0,8,0.658541667
4,2,4,3,0.8,4.6,6300,0,0,0,0,15,0.921703704
4,2,4,5,0.8,4.6,7560,0,0,0,0,18,0.921604938
4,2,4,12,0.8,4.6,3780,0,0,0,0,9,0.590617284
4,2,4,8,0.75,4.6,3360,0,0,0,0,8,0.376597222
4,2,6,3,0.8,4.6,6300,0,0,0,0,15,0.921703704
4,2,6,5,0.8,4.6,7560,0,0,0,0,18,0.921604938
4,2,6,12,0.8,4.6,3780,0,0,0,0,9,0.590617284
