sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
1113874,20,2,0,45,99,153,16,42,80,111,10,0,0,0.81,0.88,0,0,0,0,1,0,Yes
1113900,0,12,0,3,4,5,1,3,5,5,0,0,0,0.82,0.79,0,1,0,0,1,0,Yes
1113996,0,9,0,22,42,62,6,18,28,38,4,0,0,0.69,0.68,0,0,0,0,1,0,Yes
1114031,1,2,0,10,10,10,1,1,1,1,0,0,0,1,0.99,0,0,0,0,1,0,Yes
1114043,3,2,0,10,16,26,5,8,21,33,1,0,0,0.99,0.99,0,0,0,0,1,0,Yes
1114109,0,8,0,49,49,49,0,0,0,0,0,0,0,0.77,0.78,0,1,0,0,1,0,Yes
1114110,45,8,183,474,822,1104,305,539,884,1182,227,0,0,0.93,0.67,3,0,0,0,1,0,Yes
1114197,0,2,0,16,40,40,0,1,1,1,0,0,16,0.85,0.88,0,1,0,1,1,0,Yes
1977099,20,4,0,0,0,0,0,1,1,3,0,0,0,0.85,0.78,0,1,0,0,1,0,No
1977100,96,12,0,276,499,625,0,0,0,0,49,0,0,0.69,0.69,0,0,0,1,1,0,No
1977101,14,2,0,8,8,8,0,1,1,1,0,0,0,0.78,0.74,0,1,0,1,1,0,No
1058368,47,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,No
1977122,1,2,6,0,0,0,1,2,4,4,0,0,0,1,0.99,0,0,0,1,1,0,No
1977123,3,12,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0,0,0,0,1,0,No
1977124,3,8,0,0,0,0,0,0,1,1,1,0,0,0.96,0.97,0,1,0,1,1,0,No
1977125,34,12,0,0,0,0,0,1,1,2,0,0,0,0.78,0.78,0,0,0,0,1,0,No
1977126,32,8,0,0,0,0,0,1,2,5,1,0,0,0.99,0.99,0,1,0,0,1,0,No
1977127,4,8,0,24,42,54,3,9,25,39,1,0,0,0.97,0.84,0,0,0,0,1,0,No
1977129,23,9,0,0,0,20,2,8,27,45,1,0,0,0.99,0.99,0,0,0,0,1,0,No
1977130,2,9,0,0,0,0,0,0,0,0,0,0,0,0.87,0.72,0,1,0,0,1,0,No
1977131,2,9,0,0,0,0,0,0,0,0,0,0,0,0.87,0.72,0,0,0,0,1,0,No
1977132,11,8,0,0,0,0,0,0,0,0,0,0,0,1,0.99,0,0,0,0,1,0,No
1977133,2,12,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,0,1,0,No
1977096,8,12,0,0,0,0,0,0,1,3,0,0,0,0.78,0.78,0,1,0,0,1,0,No
1977097,3,2,0,0,0,0,0,0,0,0,0,0,0,0.78,0.74,0,1,0,0,1,0,No
1977098,28,2,0,0,0,0,4,8,13,13,0,0,0,0.78,0.74,0,1,0,0,1,0,No
1977099,20,4,0,0,0,0,0,1,1,3,0,0,0,0.85,0.78,0,1,0,0,1,0,No
1060534,0,,0,0,0,0,0,0,0,8,3,0,0,-99,-99,0,0,0,0,0,0,No
1113122,0,10,2,0,0,1,0,0,2,2,0,0,0,0.89,0.9,0,0,0,0,1,0,Yes
1113199,0,12,1,4,7,10,1,3,5,8,0,0,0,0.82,0.79,0,0,0,0,1,0,Yes
1113222,57,8,0,576,768,960,61,184,519,589,101,0,0,0,0,3,0,0,0,1,0,Yes
1113268,0,8,0,2,3,4,1,2,3,3,0,0,0,0.96,0.97,0,0,0,0,1,0,Yes
1113366,2,8,0,38,55,89,12,41,75,98,1,0,0,0.99,0.99,0,0,0,1,1,0,Yes
1113480,5,8,0,15,30,44,6,15,47,61,4,0,0,0.5,0.63,0,1,0,0,1,0,Yes
1113651,0,8,0,3,4,6,2,3,4,5,0,0,0,0.77,0.78,0,0,0,0,1,0,Yes
1113874,20,2,0,45,99,153,16,42,80,111,10,0,0,0.81,0.88,0,0,0,0,1,0,Yes
1113900,0,12,0,3,4,5,1,3,5,5,0,0,0,0.82,0.79,0,1,0,0,1,0,Yes
